Region,District,City,Address,Polling station number,Polling station code,Total number of voters,Number of voters who received a ballot,Number of voters who took part in the vote,Number of voters who took part in early voting,Number of voters who took part in the vote at the place of residence,Number of voters who took part in the vote on election day,Dmitriev,Konopackaya,Lukashenko,Tsikhanouskaya,Cherechen,Against all,Number of ballots declared invalid,Number of ballots received by the precinct commission,Number of spoiled ballots,Number of unused ballots
Брестская,Лунинецкий,аг. Кожан-Городок,"агрогородок Кожан-Городок, улица Гимбатова, дом 25, здание Кожан-Городокской сельской библиотеки-клуба государственного учреждения культуры «Лунинецкая районная централизованная библиотечная система».",37,01-057-0037,1110,1040,1039,373,21,645,15,23,798,125,14,58,6,1150,0,110
Брестская,Ляховичский,д. Гончары,"д. Гончары, ул. Школьная, 6, административное здание Гончаровского сельского исполнительного комитета.",8,01-058-0008,580,501,501,111,276,114,6,13,317,129,4,28,4,595,0,94
Брестская,Пинск,Пинск,"улица Брестская, 56, детская библиотека имени Я.Коласа государственного учреждения культуры «Пинская городская централизованная библиотечная система».",10,01-060-0010,1111,1055,1055,411,17,627,63,48,580,206,84,74,,,,
Брестская,Пинск,Пинск,"улица Рокоссовского, 6, учреждение образования «Пинский государственный медицинский колледж».",28,01-060-0028,654,603,603,140,10,453,12,8,489,81,5,8,,,,
Брестская,Пинск,Пинск,"улица Рокоссовского, 36, государственное учреждение специального образования «Центр коррекционно-развивающего обучения и реабилитации г. Пинска».",33,01-060-0033,1695,1559,1559,577,13,969,33,47,1271,94,19,95,,,,
Брестская,Пинск,Пинск,"улица Рокоссовского, 36, государственное учреждение специального образования «Центр коррекционно-развивающего обучения и реабилитации г. Пинска».",34,01-060-0034,1452,1321,1321,476,26,712,27,37,1044,76,30,107,,,,
Брестская,Пинск,Пинск,"улица Первомайская, 140, государственное учреждение культуры «Пинский городской центр культуры и творчества».",40,01-060-0040,1531,1349,1349,514,26,809,14,30,1057,55,13,180,,,,
Брестская,Пинск,Пинск,"улица Ильина, 13, государственное учреждение образования «Гимназия № 2 г. Пинска».",42,01-060-0042,1325,1300,1300,448,25,827,28,14,1097,52,20,89,,,,
Брестская,Пинск,Пинск,"улица Центральная, 74, государственное учреждение образования «Ясли-сад № 27 г. Пинска».",44,01-060-0044,1802,1584,1584,393,31,1160,27,22,1234,64,26,211,,,,
Брестская,Пинск,Пинск,"проспект Жолтовского, 37, государственное учреждение образования «Средняя школа № 18 г.Пинска».",56,01-060-0056,1425,1284,1284,559,19,706,14,39,1031,62,12,126,,,,
Брестская,Пинск,Пинск,"проспект Жолтовского, 37, государственное учреждение образования «Средняя школа № 18 г.Пинска».",57,01-060-0057,1864,1671,1671,750,7,914,21,61,1304,76,25,184,,,,
Брестская,Пинск,Пинск,"проспект Жолтовского, 37, государственное учреждение образования «Средняя школа № 18 г.Пинска».",58,01-060-0058,1161,1030,1030,434,0,596,8,10,808,57,7,140,,,,
Брестская,Пинск,Пинск,"улица Парковая, 172, государственное учреждение образования «Средняя школа № 14 г.Пинска».",59,01-060-0059,1923,1902,1902,839,22,1041,28,15,1138,615,18,88,,,,
Брестская,Пинск,Пинск,"улица Парковая, 172, государственное учреждение образования «Средняя школа № 14 г.Пинска».",60,01-060-0060,1782,1656,1656,743,14,899,18,24,988,466,32,128,,,,
Брестская,Пинск,Пинск,"улица Парковая, 172, государственное учреждение образования «Средняя школа № 14 г.Пинска».",61,01-060-0061,2169,2034,2034,960,12,1062,39,16,998,793,38,150,,,,
Брестская,Пружанский,г. Пружаны,"г. Пружаны, ул. Маяковского, 9, здание УО «Пружанский государственный аграрно-технический колледж».",9,01-062-0009,846,822,822,201,48,573,9,8,468,241,14,76,6,850,,28
Брестская,Столинский,г. Давид-Городок,"г. Давид-Городок, ул. Калинина, 17, здание ГУО «Средняя школа № 1 г. Давид-Городка».",10,01-063-0010,1726,1213,1213,192,24,997,8,10,464,634,5,69,23,1760,1,546
Брестская,Столинский,р.п. Речица,"р.п.Речица, ул. Суворова, 19б, здание ГУО «Средняя школа № 3 р.п.Речица».",15,01-063-0015,2405,2208,2208,942,26,1240,40,19,1595,392,32,120,10,2510,,302
Брестская,Столинский,аг. Бережное,"аг. Бережное, ул. Ленина, 135, административное здание Бережновского сельского исполнительного комитета.",21,01-063-0021,1397,1289,1289,743,108,438,6,5,1150,66,6,42,14,1470,0,181
Брестская,Столинский,д. Семигостичи,"д. Семигостичи, ул. Центральная, 12а, здание Семигостичского дома культуры.",49,01-063-0049,1000,826,826,453,0,373,10,37,583,141,16,39,,,,
Брестская,Брестский,агрогородок  Остромечево,"агрогородок  Остромечево, площадь Октябрьская, дом 2А, здание сельского Дома культуры.",2,01-142-0002,1505,1359,1359,433,10,916,32,15,521,641,43,89,18,1575,,216
Брестская,Брестский,деревня Омелинно,"деревня Омелинно, улица Брестская, дом 21, здание сельского клуба-библиотеки.",13,01-142-0013,334,327,327,162,6,159,1,3,304,13,1,5,,,,
Витебская,Витебск - Железнодорожный,Витебск,"помещение Витебского филиала учреждения образования «Белорусская государственная академия связи» г. Витебск, ул. Ильинского, д.45.",3,02-014-0003,2123,1550,1550,856,47,647,15,8,1270,109,39,109,,2200,,650
